Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,MonthlyCharges,Churn
Yes,Yes,63,Yes,No,DSL,Yes,Yes,Yes,Yes,75.55,No
Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,84.8,No
No,No,42,Yes,No,No,No,No,No,No,20.65,No
No,No,47,Yes,No,No,No,No,No,No,20.45,No
Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,102.45,Yes
Yes,No,21,Yes,Yes,Fiber optic,Yes,No,Yes,No,104.4,Yes
No,No,11,No,No,DSL,No,Yes,No,Yes,35.65,No
No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,99.75,Yes
Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,90.45,No
No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,97.65,No
No,No,3,Yes,No,Fiber optic,No,No,Yes,No,73.85,No
No,No,4,Yes,No,DSL,No,No,Yes,Yes,74.4,Yes
No,No,30,Yes,Yes,DSL,No,No,Yes,Yes,69.1,No
No,No,5,Yes,Yes,Fiber optic,No,No,Yes,Yes,82.75,No
Yes,No,71,Yes,Yes,No,No,No,No,No,24.4,No
No,No,29,Yes,Yes,DSL,No,Yes,No,No,55.25,No
Yes,No,52,Yes,Yes,DSL,No,Yes,No,Yes,61.35,No
No,No,68,Yes,Yes,DSL,Yes,Yes,Yes,No,76.75,No
Yes,Yes,46,Yes,No,No,No,No,No,No,19.4,No
No,No,8,Yes,No,DSL,No,No,No,No,54.75,No
Yes,No,72,Yes,No,No,No,No,No,No,19.7,No
No,No,17,Yes,No,No,No,No,No,No,19.9,No
No,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,107.95,No
No,No,2,Yes,No,Fiber optic,No,Yes,No,No,83.8,No
No,No,9,Yes,No,Fiber optic,Yes,No,No,No,74.25,Yes
No,No,51,No,No,DSL,No,Yes,Yes,No,56.4,No
Yes,Yes,6,Yes,No,No,No,No,No,No,20.1,No
Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,94.9,No
No,No,17,Yes,Yes,Fiber optic,No,No,No,No,94.2,No
Yes,No,30,Yes,Yes,DSL,No,No,No,No,49.9,No
No,No,31,Yes,Yes,DSL,No,Yes,No,Yes,71.05,No
No,No,45,Yes,No,DSL,Yes,No,Yes,Yes,81.65,No
Yes,No,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,89.45,No
No,No,1,Yes,Yes,DSL,No,No,No,No,59.85,Yes
No,No,1,Yes,No,Fiber optic,No,No,No,No,69.6,Yes
Yes,Yes,61,Yes,Yes,Fiber optic,No,Yes,No,No,99,No
No,No,1,Yes,No,No,No,No,No,No,19.05,No
No,No,9,No,No,DSL,No,No,No,No,45.4,Yes
Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,114.45,No
No,No,1,Yes,No,No,No,No,No,No,19.5,Yes
Yes,No,7,Yes,No,DSL,No,No,No,No,44.25,No
Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,90.55,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,69.9,Yes
Yes,Yes,40,Yes,No,No,No,No,No,No,20.4,No
No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,71.4,No
No,No,2,Yes,No,Fiber optic,No,Yes,No,No,87.15,Yes
Yes,No,67,Yes,Yes,No,No,No,No,No,24.85,No
Yes,No,41,Yes,No,Fiber optic,Yes,Yes,Yes,No,104.45,No
Yes,Yes,56,Yes,No,No,No,No,No,No,19.8,No
No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,116.45,No
Yes,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,84.75,Yes
Yes,No,54,Yes,No,No,No,No,No,No,20.05,No
No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,110.75,No
No,No,50,Yes,No,Fiber optic,No,No,Yes,Yes,89.7,No
No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,89.95,Yes
Yes,No,27,Yes,No,DSL,Yes,No,No,No,48.7,No
Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,96.6,No
No,No,62,Yes,No,DSL,Yes,Yes,No,No,74.3,No
No,No,12,Yes,No,DSL,No,Yes,No,Yes,54.3,No
No,No,44,Yes,No,DSL,No,No,Yes,Yes,74.85,No
Yes,Yes,54,Yes,No,Fiber optic,No,Yes,No,Yes,79.95,No
No,No,68,Yes,No,No,No,No,No,No,20.05,No
No,No,20,Yes,No,No,No,No,No,No,19.4,No
Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,No,54.9,No
No,No,58,Yes,Yes,No,No,No,No,No,24.45,No
Yes,Yes,35,Yes,Yes,Fiber optic,No,Yes,No,No,89.65,No
No,No,2,Yes,No,DSL,No,No,No,No,45.4,No
Yes,Yes,63,Yes,Yes,DSL,Yes,No,Yes,Yes,75.7,No
Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,110.65,No
Yes,Yes,27,Yes,No,No,No,No,No,No,20.55,No
Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,115.15,No
No,No,63,Yes,No,DSL,No,No,Yes,No,58.55,No
Yes,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,93.25,No
No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,113.2,Yes
No,No,13,Yes,No,Fiber optic,No,No,No,No,90.5,Yes
No,No,2,Yes,No,Fiber optic,No,No,No,No,79,Yes
Yes,Yes,68,Yes,No,No,No,No,No,No,19.35,No
Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,48.75,No
No,No,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,109.05,No
Yes,No,72,Yes,Yes,No,No,No,No,No,25,No
No,No,28,Yes,Yes,DSL,No,No,No,Yes,54.9,No
Yes,Yes,72,Yes,Yes,No,No,No,No,No,24.75,No
No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,91.15,No
No,Yes,18,Yes,No,No,No,No,No,No,20.15,Yes
Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,104.35,No
No,No,26,Yes,Yes,DSL,No,No,No,Yes,66.05,No
No,Yes,1,Yes,No,Fiber optic,No,No,No,No,71.65,Yes
No,No,4,Yes,No,No,No,No,No,No,20.35,Yes
Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,92.2,No
No,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,84.25,Yes
Yes,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,105.2,No
Yes,No,57,Yes,No,No,No,No,No,No,19.6,No
Yes,No,54,No,No,DSL,No,Yes,No,No,30.4,No
No,No,12,Yes,No,Fiber optic,No,No,No,No,78.1,Yes
Yes,No,44,Yes,No,DSL,Yes,Yes,Yes,No,61.5,No
Yes,Yes,42,Yes,Yes,DSL,Yes,Yes,No,No,69.4,No
Yes,Yes,72,Yes,Yes,No,No,No,No,No,24.75,No
Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,91.05,No
Yes,No,19,Yes,Yes,Fiber optic,No,No,Yes,No,89.65,Yes
Yes,No,23,Yes,Yes,DSL,No,No,No,Yes,73.65,No
No,No,30,Yes,No,No,No,No,No,No,19.4,No
No,No,35,Yes,Yes,No,No,No,No,No,26.2,No
No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,98.7,Yes
No,No,1,Yes,No,DSL,No,No,No,No,43.85,No
No,No,22,Yes,No,Fiber optic,No,No,No,No,69.7,No
Yes,Yes,7,No,No,DSL,Yes,Yes,Yes,No,38.55,No
No,No,36,No,No,DSL,Yes,Yes,Yes,Yes,53.1,No
Yes,Yes,34,Yes,No,No,No,No,No,No,20.65,No
Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,No,64.45,No
Yes,Yes,36,Yes,Yes,No,No,No,No,No,25.1,No
No,No,1,Yes,No,Fiber optic,No,No,Yes,No,76.35,Yes
No,No,23,Yes,Yes,Fiber optic,No,Yes,No,No,79.15,Yes
Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,85,Yes
Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,95.15,No
No,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,79.35,No
Yes,No,17,Yes,No,Fiber optic,No,No,Yes,No,96.65,No
No,No,1,Yes,No,DSL,No,No,Yes,Yes,75.5,No
Yes,Yes,12,Yes,No,No,No,No,No,No,19.7,No
Yes,No,72,Yes,No,No,No,No,No,No,20.5,No
No,No,1,Yes,No,No,No,No,No,No,19.2,No
Yes,No,72,Yes,Yes,Fiber optic,No,Yes,No,No,98.35,No
Yes,Yes,60,Yes,Yes,Fiber optic,No,No,No,No,74.35,No
Yes,Yes,61,No,No,DSL,No,Yes,Yes,Yes,51.35,No
Yes,No,6,Yes,No,DSL,No,No,No,No,45.65,No
Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,85.3,Yes
No,Yes,31,Yes,Yes,Fiber optic,No,No,No,No,86.55,Yes
No,No,19,Yes,No,Fiber optic,No,Yes,No,No,73.85,Yes
Yes,Yes,72,Yes,No,No,No,No,No,No,20.3,No
No,No,32,Yes,Yes,DSL,No,Yes,No,No,54.2,No
Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,90.65,No
Yes,Yes,45,No,No,DSL,Yes,No,No,No,50.9,No
No,No,42,Yes,Yes,No,No,No,No,No,25.05,No
No,No,8,Yes,Yes,Fiber optic,No,No,No,No,74.85,No
No,Yes,32,Yes,No,No,No,No,No,No,20.5,No
Yes,No,22,Yes,Yes,DSL,Yes,Yes,No,Yes,63.55,No
Yes,No,57,No,No,DSL,No,No,No,No,44.85,Yes
No,No,1,Yes,No,DSL,Yes,No,No,No,47.95,No
No,No,1,Yes,No,DSL,No,No,No,No,45.1,Yes
Yes,No,1,Yes,No,DSL,No,No,No,No,45,No
No,No,24,Yes,No,Fiber optic,No,No,No,Yes,96,Yes
No,No,1,Yes,No,No,No,No,No,No,20.05,Yes
No,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,90.05,No
No,No,4,Yes,Yes,No,No,No,No,No,25.3,No
Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,108.65,Yes
Yes,No,56,Yes,Yes,No,No,No,No,No,24.3,No
No,No,45,Yes,No,DSL,Yes,No,Yes,No,75.95,No
Yes,Yes,71,Yes,No,No,No,No,No,No,19.7,No
Yes,No,59,Yes,No,DSL,Yes,Yes,Yes,No,66.4,No
No,No,69,No,No,DSL,No,Yes,Yes,No,35.75,No
No,No,19,Yes,No,No,No,No,No,No,18.8,No
Yes,Yes,55,Yes,No,No,No,No,No,No,19.4,No
No,No,38,Yes,No,No,No,No,No,No,19.3,No
No,No,10,Yes,No,DSL,No,No,No,No,45.55,Yes
Yes,No,47,Yes,Yes,DSL,Yes,Yes,Yes,No,67.45,No
Yes,No,2,No,No,DSL,No,No,No,No,35.1,Yes
No,No,1,Yes,No,DSL,No,No,No,No,46.2,Yes
No,No,1,Yes,No,DSL,No,No,No,No,45.15,Yes
No,No,1,No,No,DSL,No,Yes,Yes,No,43.3,Yes
Yes,Yes,46,Yes,No,No,No,No,No,No,20.1,No
No,No,38,Yes,No,DSL,Yes,Yes,No,No,57.15,Yes
Yes,No,65,Yes,No,DSL,Yes,No,Yes,Yes,58.9,No
Yes,No,19,Yes,No,Fiber optic,Yes,No,No,No,73.2,Yes
No,No,52,Yes,No,Fiber optic,No,Yes,No,No,85.35,Yes
Yes,Yes,71,Yes,No,No,No,No,No,No,19.45,No
No,No,1,Yes,No,DSL,No,No,No,No,45.95,Yes
No,No,52,No,No,DSL,No,Yes,Yes,Yes,50.5,No
Yes,No,6,Yes,Yes,No,No,No,No,No,25.1,No
Yes,No,26,Yes,No,DSL,No,No,Yes,No,60.7,No
No,No,48,Yes,Yes,Fiber optic,No,Yes,No,No,99,No
Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,No,Yes,104.4,No
No,No,3,Yes,No,Fiber optic,No,Yes,No,No,83.75,Yes
No,No,1,Yes,No,DSL,No,No,No,No,44.05,No
Yes,Yes,72,Yes,Yes,No,No,No,No,No,24.1,No
No,No,1,Yes,No,DSL,No,No,No,No,45.55,No
Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,93.8,No
Yes,Yes,41,Yes,No,No,No,No,No,No,19.7,No
Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,No,70.65,No
Yes,No,43,Yes,Yes,DSL,Yes,Yes,No,Yes,86.45,No
Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,114.1,No
Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No,95.2,No
No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,88.55,No
No,No,3,Yes,No,No,No,No,No,No,20.75,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,70.05,Yes
No,No,2,Yes,Yes,Fiber optic,No,No,No,No,86,Yes
No,No,26,No,No,DSL,Yes,Yes,No,No,44.65,No
Yes,Yes,29,Yes,No,DSL,Yes,No,No,No,60.2,No
Yes,No,35,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,100.5,Yes
No,No,27,Yes,No,DSL,Yes,Yes,No,No,55.45,No
Yes,Yes,24,Yes,No,DSL,Yes,Yes,No,Yes,70.3,No
Yes,Yes,67,Yes,No,DSL,Yes,No,Yes,Yes,60.4,No
No,No,16,Yes,Yes,Fiber optic,No,No,No,No,72.65,Yes
No,No,23,Yes,No,DSL,No,Yes,Yes,No,55.8,No
No,No,14,No,No,DSL,No,Yes,No,No,31.1,No
Yes,Yes,1,Yes,No,No,No,No,No,No,21,Yes
No,No,1,Yes,No,DSL,No,No,No,No,45.1,Yes
No,No,4,No,No,DSL,No,Yes,No,No,50.95,No
No,Yes,16,Yes,Yes,DSL,Yes,Yes,No,No,69.1,No
Yes,No,46,No,No,DSL,No,No,No,No,43.95,No
No,Yes,68,Yes,Yes,DSL,Yes,Yes,No,Yes,86.5,No
No,No,38,Yes,Yes,DSL,Yes,Yes,Yes,Yes,69.95,No
Yes,No,30,Yes,No,DSL,No,Yes,No,No,50.4,Yes
No,No,5,Yes,No,Fiber optic,No,No,No,No,78.95,Yes
No,No,17,Yes,No,Fiber optic,No,Yes,Yes,No,90.95,No
Yes,Yes,4,Yes,No,No,No,No,No,No,19.9,No
No,No,12,Yes,No,No,No,No,No,No,20.15,No
Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,90.6,No
No,No,3,Yes,No,Fiber optic,No,No,No,No,92,No
No,No,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,94.45,Yes
No,No,41,Yes,Yes,No,No,No,No,No,24.85,No
No,No,40,No,No,DSL,No,Yes,No,Yes,36,No
No,No,7,Yes,No,DSL,Yes,Yes,No,Yes,78.5,No
No,No,69,Yes,No,No,No,No,No,No,19.95,No
Yes,Yes,7,Yes,No,No,No,No,No,No,20.65,No
Yes,Yes,5,No,No,DSL,No,Yes,No,No,30.5,No
Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,106.1,No
Yes,Yes,44,Yes,No,No,No,No,No,No,20.5,No
No,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,95.5,No
No,No,3,Yes,Yes,DSL,No,No,No,Yes,64.6,No
No,No,24,Yes,No,DSL,No,No,No,Yes,51.1,No
No,No,44,Yes,Yes,Fiber optic,No,Yes,Yes,No,84.8,Yes
Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,89.1,No
No,No,24,Yes,No,DSL,Yes,No,No,Yes,54.95,No
No,No,1,Yes,No,DSL,No,No,Yes,No,50.9,Yes
Yes,No,22,Yes,No,No,No,No,No,No,20.45,No
Yes,Yes,70,Yes,Yes,DSL,No,Yes,Yes,Yes,85.95,No
Yes,Yes,25,Yes,Yes,DSL,No,No,No,No,60.35,No
Yes,Yes,37,Yes,No,No,No,No,No,No,19.8,No
Yes,Yes,22,Yes,Yes,Fiber optic,No,No,No,No,85.35,No
Yes,Yes,59,Yes,Yes,DSL,No,No,Yes,Yes,72.1,No
Yes,Yes,49,Yes,Yes,Fiber optic,No,No,Yes,No,99.8,Yes
Yes,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,Yes,107.35,Yes
Yes,Yes,31,Yes,No,No,No,No,No,No,19.55,Yes
Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,81.05,No
No,No,3,Yes,No,No,No,No,No,No,20.5,No
Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,111.8,No
No,No,1,Yes,No,No,No,No,No,No,20.2,No
No,No,20,Yes,No,No,No,No,No,No,19.7,No
No,No,3,Yes,No,Fiber optic,Yes,Yes,No,No,79.1,Yes
No,No,51,Yes,No,No,No,No,No,No,19.85,No
Yes,No,51,Yes,No,DSL,Yes,Yes,No,Yes,60.5,No
Yes,Yes,13,Yes,No,No,No,No,No,No,19.55,No
No,No,1,Yes,No,No,No,No,No,No,20.9,No
No,Yes,1,Yes,No,No,No,No,No,No,21.05,No
No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,71.5,No
No,No,3,Yes,No,DSL,No,No,No,No,54.65,No
No,No,46,Yes,No,No,No,No,No,No,19.2,No
No,No,1,Yes,Yes,DSL,No,No,No,No,49.8,No
No,Yes,8,No,No,DSL,No,No,No,No,25.5,Yes
Yes,Yes,71,Yes,No,No,No,No,No,No,20.5,No
Yes,Yes,55,Yes,Yes,Fiber optic,No,No,Yes,No,90.4,No
No,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,90.25,No
No,No,2,Yes,No,Fiber optic,No,No,No,No,80.75,Yes
Yes,Yes,67,Yes,Yes,Fiber optic,Yes,No,No,Yes,104.6,No
Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,91.85,Yes
Yes,No,14,Yes,No,DSL,No,No,Yes,No,50.2,No
Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,95.5,No
No,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,75.35,Yes
No,No,1,Yes,Yes,Fiber optic,No,No,No,No,75.45,Yes
Yes,Yes,49,Yes,Yes,Fiber optic,No,No,No,No,95.4,No
No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,101.3,No
Yes,No,46,Yes,Yes,DSL,Yes,No,No,No,53.1,No
No,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,84.85,No
Yes,Yes,5,No,No,DSL,No,Yes,No,Yes,34.25,No
Yes,Yes,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,88.6,No
No,No,42,Yes,Yes,DSL,Yes,Yes,No,No,60.15,No
No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,99.95,No
No,No,8,Yes,No,Fiber optic,No,No,No,No,70.7,No
No,No,66,Yes,No,DSL,Yes,Yes,No,No,54.8,No
No,No,24,Yes,No,DSL,Yes,No,No,No,49.55,Yes
No,No,24,Yes,Yes,DSL,No,Yes,No,No,54.8,No
No,No,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,78.6,Yes
No,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,100.3,No
No,No,60,No,No,DSL,Yes,No,Yes,No,53.6,No
Yes,No,7,Yes,No,Fiber optic,No,No,No,No,81.1,Yes
No,No,20,Yes,No,No,No,No,No,No,19.35,No
Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,85.6,No
Yes,Yes,72,Yes,No,DSL,Yes,No,Yes,Yes,80.8,No
Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No,74.95,Yes
No,No,21,Yes,No,No,No,No,No,No,19.6,No
No,No,1,Yes,Yes,Fiber optic,No,No,No,No,93.55,Yes
No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,90.7,No
No,No,57,Yes,No,DSL,No,Yes,Yes,Yes,69.75,No
Yes,Yes,45,Yes,No,No,No,No,No,No,20,No
No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,95.25,No
Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,Yes,102.1,Yes
No,Yes,14,Yes,No,No,No,No,No,No,19.95,No
Yes,No,27,Yes,Yes,DSL,Yes,No,No,Yes,80.85,No
Yes,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,90.9,Yes
Yes,Yes,12,No,No,DSL,No,Yes,No,No,29.2,Yes
Yes,Yes,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,93.3,No
Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,89.15,Yes
Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,108.85,Yes
Yes,Yes,35,No,No,DSL,Yes,No,No,Yes,46.35,No
No,No,16,Yes,Yes,Fiber optic,No,No,No,No,84.75,Yes
Yes,Yes,45,Yes,Yes,DSL,No,Yes,Yes,No,78.75,No
No,No,17,Yes,No,Fiber optic,No,Yes,No,No,83.55,No
Yes,Yes,1,Yes,No,DSL,No,No,No,No,45.7,Yes
No,No,22,Yes,No,No,No,No,No,No,19.6,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,69.95,Yes
Yes,Yes,67,Yes,No,DSL,Yes,No,Yes,Yes,67.85,No
Yes,Yes,67,Yes,Yes,Fiber optic,No,No,Yes,Yes,105.65,No
Yes,No,2,No,No,DSL,No,No,No,No,44.6,Yes
No,No,23,Yes,Yes,Fiber optic,No,No,No,No,74.95,Yes
No,No,9,Yes,No,Fiber optic,No,No,Yes,No,75.5,No
No,No,5,Yes,No,No,No,No,No,No,20.15,No
No,No,54,No,No,DSL,Yes,No,No,Yes,45.2,No
No,No,57,Yes,No,Fiber optic,No,No,Yes,No,95.25,Yes
No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,89.85,Yes
Yes,Yes,49,Yes,Yes,Fiber optic,No,Yes,No,No,100.45,Yes
No,No,5,Yes,Yes,DSL,No,No,No,No,47.15,Yes
No,No,2,Yes,No,Fiber optic,No,No,No,No,80.2,Yes
No,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,Yes,87.1,Yes
Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,79.25,No
No,No,5,Yes,Yes,Fiber optic,No,No,No,No,75.9,Yes
Yes,Yes,53,Yes,Yes,DSL,Yes,No,Yes,Yes,85.7,No
Yes,No,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,98.75,Yes
No,Yes,31,Yes,No,No,No,No,No,No,20.1,No
Yes,Yes,13,Yes,No,DSL,No,Yes,Yes,Yes,61.8,No
Yes,Yes,28,Yes,Yes,DSL,No,No,No,No,49.9,No
No,No,10,Yes,Yes,Fiber optic,No,No,No,No,86.45,Yes
Yes,No,38,Yes,No,No,No,No,No,No,20.4,No
No,No,1,Yes,No,DSL,No,No,No,No,45.3,Yes
Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,104.1,Yes
Yes,No,52,Yes,No,DSL,Yes,Yes,No,No,75.4,No
Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,108.15,No
No,No,16,Yes,No,Fiber optic,No,Yes,No,No,86.25,No
Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,81,Yes
No,No,12,Yes,No,Fiber optic,No,No,Yes,No,95.7,No
Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,116.85,No
No,No,71,Yes,Yes,Fiber optic,No,Yes,No,Yes,105.75,No
Yes,No,24,Yes,No,No,No,No,No,No,20.15,No
No,No,15,Yes,No,No,No,No,No,No,19.6,No
Yes,No,67,Yes,No,Fiber optic,Yes,Yes,No,No,90.6,Yes
No,Yes,2,Yes,Yes,DSL,Yes,Yes,No,No,60.95,No
Yes,Yes,5,No,No,DSL,No,No,No,No,25.05,No
Yes,No,15,Yes,No,Fiber optic,No,No,No,No,88.15,Yes
No,No,1,Yes,No,No,No,No,No,No,20.2,Yes
Yes,Yes,41,Yes,No,DSL,Yes,Yes,Yes,No,60.3,No
No,Yes,43,Yes,No,DSL,Yes,Yes,No,No,63.95,No
Yes,No,1,Yes,Yes,Fiber optic,No,No,No,No,74.3,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,70.6,No
Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,90.8,Yes
No,No,22,Yes,Yes,Fiber optic,No,Yes,No,No,79.35,Yes
Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,90.55,No
No,No,7,Yes,No,No,No,No,No,No,19.45,No
No,No,28,Yes,Yes,DSL,No,Yes,Yes,Yes,64.45,No
No,No,16,Yes,No,Fiber optic,No,No,No,No,69.65,No
No,No,7,Yes,No,No,No,No,No,No,19.5,No
No,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,110.5,No
No,Yes,1,No,No,DSL,No,No,No,No,24.7,No
No,No,3,Yes,No,DSL,Yes,No,Yes,No,77.4,No
No,No,21,Yes,No,Fiber optic,No,No,Yes,No,96.8,Yes
Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,85.4,No
Yes,No,71,No,No,DSL,Yes,Yes,Yes,Yes,47.6,No
Yes,Yes,69,Yes,No,No,No,No,No,No,19.4,No
No,No,48,Yes,Yes,Fiber optic,No,No,Yes,Yes,103.85,No
Yes,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,83.35,Yes
No,No,2,Yes,Yes,DSL,No,No,No,No,49.4,Yes
No,No,45,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,108.45,No
No,No,51,Yes,Yes,Fiber optic,No,Yes,No,No,81,No
Yes,No,22,Yes,Yes,DSL,Yes,No,No,Yes,79.2,Yes
No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,86.65,No
Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,Yes,No,92.95,No
Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,90.35,No
Yes,Yes,7,Yes,No,DSL,No,No,Yes,No,48.7,Yes
No,No,66,Yes,Yes,No,No,No,No,No,25.15,No
Yes,Yes,51,Yes,No,DSL,Yes,No,No,Yes,76.4,No
Yes,Yes,30,Yes,No,No,No,No,No,No,19.55,No
No,No,34,Yes,Yes,Fiber optic,No,No,No,No,85.35,No
Yes,Yes,64,Yes,Yes,No,No,No,No,No,24.8,No
Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,103.15,No
No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,100.75,No
No,No,1,Yes,No,Fiber optic,Yes,No,No,No,95.6,Yes
No,No,49,Yes,Yes,DSL,Yes,Yes,No,No,59.75,Yes
Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,94.1,No
No,Yes,39,Yes,No,No,No,No,No,No,19.35,No
No,No,14,Yes,No,No,No,No,No,No,19.9,No
No,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,108.15,Yes
No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,101.05,No
No,No,14,Yes,No,DSL,No,No,No,Yes,59.1,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,71.35,Yes
Yes,Yes,16,Yes,No,DSL,Yes,Yes,No,No,55.85,No
Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,106.05,No
Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,84.1,No
Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,75.3,No
No,Yes,21,Yes,Yes,No,No,No,No,No,24.7,No
